Benchmark,Examples,Program,Time,Ite
string/extract-word-containing-specific-text.sl,2, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (ite (str.suffixof " " (str.substr _arg_0 4 4)) (str.++ (str.++ (str.substr _arg_0 (+ 4 4) 4) (str.substr _arg_0 (str.indexof _arg_0 "_" 1) 4)) (str.at _arg_0 (+ 2 (str.indexof _arg_0 "." 1)))) (str.++ (str.++ (str.++ (str.++ (str.at _arg_0 (- (str.indexof _arg_0 "_" 1) 4)) (str.at _arg_0 (- 4 (str.indexof _arg_0 " " 1)))) (str.at _arg_0 (- (str.indexof _arg_0 "_" 1) 2))) (str.at _arg_0 2)) (str.substr _arg_0 (str.indexof _arg_0 "_" 1) 4))) (str.at _arg_0 (+ -1 (str.indexof _arg_0 "." 1)))) (str.substr _arg_0 (str.indexof _arg_0 "." 1) 4))),14.312,1
string/extract-word-that-begins-with-specific-character.sl,3, (define-fun f ((_arg_0 String)) String (str.++ (str.substr _arg_0 (str.indexof _arg_0 "_" 1) (+ 2 2)) (str.++ (str.substr _arg_0 (str.indexof (str.replace _arg_0 " " _arg_0) "_" 1) 2) (ite (= -1 (str.indexof _arg_0 (str.from_int 1) 1)) (str.++ (str.at _arg_0 (+ 2 (str.indexof (str.replace _arg_0 " " _arg_0) "_" 1))) (str.++ (str.at _arg_0 (- (str.indexof _arg_0 " " (str.indexof _arg_0 "_" 1)) 2)) (str.at _arg_0 (+ -1 (str.len _arg_0))))) "")))),106.995,1
string/find-nth-occurrence-of-character.sl,3, (define-fun f ((_arg_0 String) (_arg_1 Int)) Int (ite (= _arg_1 (+ 1 1)) (str.indexof (str.replace _arg_0 " " _arg_0) "_" _arg_1) (ite (= -1 (str.indexof " " "" _arg_1)) (str.indexof (str.replace _arg_0 "_" (str.replace _arg_0 "_" _arg_0)) "_" _arg_1) (str.indexof (str.++ " " _arg_0) "_" _arg_1)))),16.453,2
string/get-domain-name-from-url.sl,3, (define-fun f ((_arg_0 String)) String (str.++ (ite (str.suffixof "/" (str.substr _arg_0 3 3)) (str.substr _arg_0 0 (str.indexof _arg_0 "/" (+ 1 (+ 3 3)))) (str.substr _arg_0 0 (- (str.len _arg_0) 3))) (str.substr "/" 0 (str.indexof _arg_0 (str.at _arg_0 0) 1)))),174.275,1
string/get-first-name-from-name-with-comma.sl,4, ("define-fun f ((_arg_0 String) (_arg_1 Int)) String (ite (= _arg_1 2) (str.substr _arg_0 0 (str.indexof _arg_0 ""@"" _arg_1)) (str.++ (str.++ (ite (= _arg_1 (str.len (str.from_int (str.len _arg_0)))) (str.at _arg_0 (+ _arg_1 (str.indexof _arg_0 ""@"" _arg_1))) (str.++ (str.++ (str.at _arg_0 (+ _arg_1 (str.indexof _arg_0 ""@"" _arg_1))) (str.at _arg_0 (+ 2 (str.indexof _arg_0 ""@"" _arg_1)))) (str.at _arg_0 (+ 1 (str.indexof _arg_0 ""@"" _arg_1))))) (str.at _arg_0 (- (str.len _arg_0) 2))) (str.at _arg_0 (+ -1 (str.len _arg_0))))))",4.157,2
string/get-last-line-in-cell.sl,3,,600.224,0
string/get-last-name-from-name-with-comma.sl,3, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (str.substr _arg_0 (+ 1 (str.indexof _arg_0 ""@"" 1)) (str.len _arg_0)) ""@"") (str.substr _arg_0 0 (str.indexof _arg_0 ""@"" 1)))),22.018,0
string/get-last-word.sl,3, (define-fun f ((_arg_0 String)) String (str.++ (str.++ (str.++ (ite (str.contains _arg_0 (str.++ " " (str.at _arg_0 (+ 1 1)))) (str.at _arg_0 (+ 1 1)) (str.at (str.replace _arg_0 " " _arg_0) (+ 1 (str.len _arg_0)))) (str.at _arg_0 (- -1 (+ 1 (- 1 (str.len _arg_0)))))) (str.at _arg_0 (- -1 (- 1 (str.len _arg_0))))) (str.at _arg_0 (+ -1 (str.len _arg_0))))),105.494,1
string/get-middle-name-from-full-name.sl,4, (define-fun f ((_arg_0 String)) String (ite (str.suffixof " " (str.substr (str.replace _arg_0 " " _arg_0) 0 (str.len _arg_0))) (str.++ (str.at _arg_0 (+ 1 (str.indexof _arg_0 " " 1))) (str.++ (str.at _arg_0 (str.indexof (str.replace _arg_0 " " "") " " 1)) (ite (str.suffixof " " (str.substr _arg_0 0 (str.indexof (str.replace _arg_0 " " _arg_0) " " 1))) (str.at _arg_0 (+ -1 (str.indexof _arg_0 " " 1))) ""))) (ite (str.suffixof (str.at _arg_0 1) _arg_0) (str.++ (str.at _arg_0 (+ 1 (str.indexof _arg_0 " " 1))) (str.++ (str.at _arg_0 (str.indexof (str.replace _arg_0 " " "") " " 1)) (str.++ " " (str.++ (str.at _arg_0 (+ 1 1)) (str.++ (str.at _arg_0 (+ 1 (+ 1 (+ 1 1)))) (str.at (str.replace _arg_0 " " _arg_0) (str.len _arg_0))))))) ""))),10.560,3
string/initials-long-repeat.sl,204, (define-fun f ((name String)) String (str.++ (str.at name 0) (str.++ "." (str.++ (str.at name (+ 1 (str.indexof name " " 0))) ".")))),2.846,0
string/initials-long.sl,54, (define-fun f ((name String)) String (str.++ (str.at name 0) (str.++ "." (str.++ (str.at name (+ 1 (str.indexof name " " 0))) ".")))),2.736,0
string/initials.sl,4, (define-fun f ((name String)) String (str.++ (str.++ (str.++ (str.at name 0) ".") (str.at name (+ 1 (str.indexof name " " 0)))) ".")),1.468,0
string/initials_small.sl,4, (define-fun f ((name String)) String (str.++ (str.++ (str.++ (str.at name 0) ".") (str.at name (+ 1 (str.indexof name " " 0)))) ".")),1.426,0
